input,output,meaning,pos,num_cognates
[lat] līmus [hit] ḫalīna-,*h₂leyH-,to smear,root,2
[grc] -έω [lat] -eō [lat] -ō [san] -आयति,*-éh₁yeti,Thematicization of the athematic stative verbal suffix; see *-yeti.,suffix,4
[grc] μέμονα [lat] meminī,*memóne,"to think, to be mindful, to remember",verb,2
[xcl] գիտեմ [grc] οἶδα [san] वेत्ति [lat] vīdī,*wóyde,"to have seen, to know",verb,4
[san] विनक्ति [hit] 𒄷𒌋𒉌𒅅𒍣 [san] विवेक्षि [lat] victima,*weyk-,"to sift, separate",root,4
[lat] vincō [lit] vei̇̃kti [lat] victor [lit] viẽkas [lav] vīkt,*weyk-,to overcome,root,5
[grc] ἔοικα [grc] ἴσκω [grc] εἰκών,*weyk-,"to be fitting, to equal",root,3
[grc] εἴκω [lat] vinciō [lat] vicis [lat] cervīx [sqi] vigan [cym] gwichiad [gle] faocha [gle] faochóg [gla] faochag [ave] 𐬬𐬌𐬘 [mid] wyc- [fas] بهیزه [fas] بیختن [fas] آویختن [lat] vicia,*weyk-,"to curve, bend, to exchange",root,19
[san] मर्धति [grc] μαλθακός [lav] milna [prg] mealde [non] Mjǫllnir [grc] βλάξ [grc] μαλακός [sga] malcad [sqi] mëllë [sqi] mullâ [grc] μελαίνω [grc] μέλᾱς [lav] mal̃t [lit] málti [xcl] մաղեմ [san] मृणाति [san] मल [lat] marculus [lat] martulus [sqi] miell [grc] μύλη [lat] mola [gle] mol [gla] mul [lat] malleus [san] मलम् [lav] muļķis [lit] mùlkis [hit] malla-ⁱ [xlu] mal(ḫ)u- [xcl] մալեմ [xcl] *մուլ- [xcl] մամուլ [xcl] մղեղ [hye] մլակ [hye] մլուկ [hye] մլիկ [hye] մղմող [hye] մղմեղ [hye] մուղ [lit] málnos [grc] μελίνη [lat] milium [txb] mӓl-,*melh₂-,"to grind, to crush",root,46
[grc] ἕηκα [grc] ἧκα [grc] εἷμεν [lat] iēcī [lat] iaciō [lat] iaceō [grc] ἵημι [grc] ἥσω,*(H)yeh₁-,to throw,root,8
[san] अमीति [lat] amō [grc] ὄμνυμι [ave] 𐬀𐬨𐬀𐬎𐬎𐬀𐬧𐬙 [san] अमवत् [san] अम्,*h₃emh₃-,"to grab, to grasp, to seize, to take hold, tackle, touch, to swear (an oath)",root,6
[sqi] kush [xto] kus [txb] kᵤse,*kʷ-,The primary interrogative root.,root,6
[hye] գարուն [ell] έαρ,*wósr̥,spring (season),noun,2
[hit] 𒄀𒂊𒈪 [xcl] ձիւն [isl] gói [isl] góa [swe] göja [dan] gue [grc] χιών [lat] hiems,*ǵʰéyōm,"winter, year (as a measure of time), frost, snow",noun,12
[san] अहेम [san] अह्यन् [san] हिनोति [san] हेमन् [san] हि,*ǵʰey-,"to drive, propel",root,7
[sqi] -h [xcl] -ց- [grc] -σκω [san] -च्छति [san] -श्चति [old] -𐎿𐎠- [lat] -scō [lat] -āscō [lat] -ēscō [lat] -īscō,*-sḱéti,Forms durative or iterative imperfective verbs from roots.,suffix,10
[grc] -νῡμι [grc] -νεω [san] -नोति [san] -णोति [ave] -𐬥𐬀𐬊𐬌𐬙𐬌 [ave] -𐬥𐬎𐬎𐬀𐬌𐬧𐬙𐬌,*-néwti,Forms transitive imperfective verbs from roots.,suffix,6
[xcl] -եմ [grc] -έω [grc] *-e- [grc] *-eyé- [grc] *-esyé- [grc] -όω [grc] -πτω [grc] -σσω [grc] -ττω [grc] -ζω [grc] -λλω [grc] -ιCω [lat] -iō [lat] *-i- [lat] *-iyé- [san] -यति,*-yeti,Creates transitive imperfective verbs from roots.,suffix,17
[sqi] jetë [xcl] այո,*h₂óyu,"long time, lifetime",noun,2
[sga] -saig [sga] sachtae [sga] -sacht [sqi] gjegj [hit] 𒊭𒀀𒀝𒆠 [hit] 𒊭𒀝𒆠 [hit] 𒊭𒃷𒍣 [hit] 𒊺𒅅𒃷𒍣 [hit] 𒊺𒃷𒍣 [sga] sïacht [cel] sioxti [grc] ἡγέομαι [sqi] gjah [sqi] gjuaj [lat] sāgus,*seh₂g-,"to trace, follow",root,18
[san] सूते [xlu] 𒋗𒈾𒀜𒊒𒉿𒀭𒋾𒅔 [hit] 𒋗𒌦𒈾𒄿 [pal] 𒋗𒌑𒈾𒀜 [san] ससूव [sga] suth [hit] 𒋗𒌋𒍑 [san] सू [san] सूत [fas] رود,*sewH-,"to bear (a child), to give birth",root,13
[hin] -ता [ave] -𐬚𐬁,*-teh₂,Used to form nouns representing state of being,suffix,2
[san] पच्यते [grc] πέμμᾰ [grc] πέψῐς [san] पक्ति [lat] coctiō [grc] ἀρτοκόπος [gmy] 𐀀𐀵𐀡𐀦 [lat] coquus [grc] πεπτός [lat] coctus [hit] 𒉺𒀝𒆪𒍑𒃷𒍣 [hit] 𒉺𒀝𒋗𒉿𒀭 [hit] 𒉺𒀝𒆪𒍑𒋗𒅈 [san] पक्व [ave] 𐬞𐬁𐬐𐬀,*pekʷ-,"to cook, to ripen",root,18
[sqi] ndrydh [cym] cythrudd [lat] trūdō [lit] triū̃sas [eng] thrust [gle] troid [gla] troid,*trewd-,"to push, to thrust",root,9
[sqi] kollë [san] कासते [txb] kosi [xcl] հազեմ [xcl] հազ [lav] kãsulis [lit] kosulỹs [lit] kósėti,*kʷeh₂s-,to cough,root,8
[txb] käryā- [grc] ἐπριάμην [san] क्रीत [txb] käry- [san] क्री,*kʷreyh₂-,to buy,root,5
[lat] quiēvī [lat] quiēscō [lat] quiēs [ave] 𐬱𐬌𐬌𐬁𐬙𐬀- [fas] شاد [xcl] շատ [lat] quiētus [san] चिर [lat] (trān)quillus [sqi] (e)sëll [sqi] sillë [xcl] հանգչիմ,*kʷyeh₁-,"to rest, rest, peace",root,12
[xto] krāmärts [txb] krāmär [san] गरिमन् [san] गरिमा [san] ग्रीष्म [lav] gur̃ds [lit] gurdùs [grc] βραδύς [lat] gurdus,*gʷreh₂-,heavy,root,9
[lit] blyškė́ti [lit] blizgė́ti [lav] blaiskums [lav] blaizgums [san] भ्रेजते,*bʰleyǵ-,to shine,root,5
[lat] horreō [san] जाहृषाण [lat] horror [lat] hīrtus [grc] χέρσος [xcl] ձառ [san] घृषु [pus] زيږ [san] हृष्,*ǵʰers-,"stiff, surprised",root,9
[lit] grindis [lat] grunda,*gʰrendʰ-,"beam, plank (wooden board)",root,2
[sqi] grind [lit] grę́sti [lat] frendō [nld] grind [deu] Grind [isl] grand [non] grandi,*gʰrendʰ-,"to grind, rub, granule, particle, grain (of sand), lump, mass",root,10
[lat] rāvus [lat] grāvastellus [lat] *ǵerh₂- [lat] grāmen [ang] grǣd [hit] kariyant- [fas] روییدن [mid] groese [mid] gruose [lat] herba,*gʰreh₁-,to grow (of plants?),root,13
[sga] tías [san] स्तिघ्नोति [sga] téit [nld] sticht [nor] stætt [non] stéttr,*steygʰ-,"to go, to climb",root,6
[grc] ἕξω [san] असाक्षि [san] सक्षत् [xto] sākam [txb] sākāu [san] ससाह [san] ससाहे [grc] σχεδόν [grc] σχέσις [grc] σχέτλιος [grc] σχῆμα [grc] σχολή [grc] ἰσχύς [san] सीक्षते [grc] ὀχέω [san] साहयति [san] साढ [san] अषाढ [grc] ἕκτωρ [san] साढृ [san] साळ्हृ [san] सह्वत् [san] सह्वन् [grc] ὄχος,*seǵʰ-,"to overpower, to take hold of",root,24
[grc] ὄλπη [lat] sulpur [lat] sulphur [grc] ἔλπος [grc] ἔλφος [san] सर्पिस् [xto] ṣälyp [txb] ṣalype [san] सृप्र [mid] clp [pus] څورب,*selp-,"fat, oil",root,15
[san] ओष [grc] εὗσα [lat] ussī [san] उष्ण [san] उष्ट [lat] ustus,*h₁ews-,to burn,root,6
[gmy] 𐀁𐀄𐀐𐀵 [ell] εύχομαι [xcl] գոգեմ [san] वाघत् [grc] εὖχος [san] ओहस् [xlu] ow-,*h₁wegʷʰ-,"to promise, to vow, to praise",root,7
[isl] anga [xcl] անձն [isl] angi [dan] ange [non] ang [sqi] ëj [san] अनिल [lat] anhēlus [lat] hālō [ave] 𐬅𐬥𐬍𐬌𐬌𐬀 [sqi] ëndë [fas] هناهین [san] व्यान [ave] 𐬬𐬌𐬌𐬁𐬥𐬀𐬌𐬌𐬁 [pus] ځان [txb] añiye [txb] anāsk- [txb] onolme,*h₂enh₁-,to breathe,root,19
[hit] 𒄯𒍝 [hit] 𒄯𒍣 [lat] porceō [lat] parcō [lat] Orcus [grc] ἀρκέω [lat] arcera [lat] arx [lat] arca [lat] arcānus [lat] arcānum [xcl] արգել [xto] Ārśi,*h₂erk-,"to protect, guard, hold, lock",root,13
[san] उच्छति [san] आवस् [san] अवात् [san] वासयति [xto] wäs [txb] yasna [lit] áuksas [san] व्युष्टि [san] उष् [lav] Ausma [san] उस्र [sqi] err,*h₂ews-,"to become light, to dawn",root,18
[lat] hauriō [grc] αὔω [gmy] 𐀢𐀨𐀄𐀵𐀫 [grc] (ἀφ)ύσσω [pal] 𒄷𒍑𒅆𒄿𒅔𒀭𒋫 [sga] aél [sga] awul,*h₂ews-,"to draw water, scoop up",root,11
[san] अचति [san] अञ्चति [lat] ancus [xcl] անթ [xcl] անութ [grc] ἀγκών [hye] անգղ [non] ǫ́ll [non] áll [grc] ἀγκύλος [non] ǫ́l [non] ál [grc] ἀγκύλη [fas] انگول [fas] انگلک [fas] انگل [grc] ἄγκῡρα [hit] 𒀭𒆪𒉿𒀸,*h₂enk-,"curve, bend",root,22
"[lat] unguō, ungō [xcl] աւծանեմ [san] अनक्ति [san] अञ्जस् [prg] anctan [san] अक्त [lat] unctus",*h₃engʷ-,"to smear, to anoint",root,7
[lit] gebė́ti [lit] at-gė́bau [san] गभस्ति [lav] gãbtiês [lit] góbti,*gʰebʰ-,"to give, to take",root,5
[san] स्नापयति [ave] 𐬁𐬯𐬥𐬀𐬌𐬌𐬁𐬝 [txb] nāsk- [grc] νᾶμᾰ [san] नामन् [bre] neuñv [mid] nawf [cym] nofio [gle] snámh [gla] snàmh [san] स्नात [ave] 𐬯𐬥𐬁𐬙𐬀 [fas] شناویدن [fas] شنا [fas] اشنان [san] स्ना,*(s)neh₂-,"to swim, to float",root,21
[san] प्रीयते [san] प्रेषत् [pus] ورين [lat] propriō [lat] proprius,*preyH-,"to please, to love",root,5
[fas] سپند,*ḱwen-,"holy, sacred",root,1
[lat] umbō [xcl] անիւ [lav] naba [prg] nabis [san] नाभि [san] नभ्य,*h₃nebʰ-,"hub, navel",root,6
[san] अविश्रन् [san] विशति [grc] ἔοικα [san] विवेश [san] वेशयति [sqi] vis [lav] vìesis [lit] viešis [lat] vīcus [mid] wīx [old] *wīhs [goh] *wīhs [got] 𐍅𐌴𐌹𐌷𐍃 [txb] īke [grc] ϝοῖκος [grc] οἶκος [gmy] 𐀺𐀒 [san] वेश [ave] 𐬬𐬀𐬉𐬯𐬀,*weyḱ-,"to enter in, to settle, settlement",root,21
[lav] lùgt [lit] lūgóti [got] *𐌻𐌰𐌿𐌲𐌽𐍃 [got] 𐌰𐌽𐌰𐌻𐌰𐌿𐌲𐌽𐍃 [non] laun [goh] lougna [hit] ḫaluka- [sga] follugaid [sga] luige [cym] llw [ang] lyġen [old] lugina [nld] leugen [deu] Lüge,*h₂lewgʰ-,"to announce, tell publicly",root,15
[san] रेजति [san] रेजते [lit] láigyti [lav] līgot [lit] lyguoti,*leyg-,"to jump around, run around, to play, frolic, to shake, jitter; to dance",root,5
[lit] lygiuoti [lit] lýgus [lav] līdz [lav] līdzīgs [lav] līgt [lit] lygti [prg] līgint [prg] līginton,*leyg-,"similar, like, even, level (e.g. of a surface)",root,8
[lav] liga [lit] ligà [grc] λοιγός [sqi] lig [eng] oligo- [ell] λίγος [sga] líach [lit] li̇́egti [lit] ligóti [lav] ligât [prg] licuts [xcl] աղքատ,*leyg-,illness,root,16
[prg] lindan,*lendʰ-,"land, heath",root,1
[san] रन्ध्र [lat] lumbus,*lendʰ-,loins,root,2
[san] रन्धयति [hye] աղանձել [hye] աղանձ [grc] λάσανα [prg] landan [gle] lann,*lendʰ-,to cook,root,6
[san] मघ [ave] 𐬨𐬊𐬕𐬎 [old] 𐎶𐎦𐏁 [non] máttr [gle] smacht [gla] smachd,*megʰ-,to be able,root,6
[eng] last [nld] leest [deu] Leist [deu] Leisten [isl] leistur [swe] läst [got] 𐌻𐌰𐌹𐍃𐍄𐍃 [grc] λοῖσθος,*leys-,"to trace, to track",root,9
[xcl] եկն [lav] dzimt [lit] gimti [san] अगन् [san] गमति,*gʷémt,"to step, to take a step, to arrive",verb,5
[sqi] ngah [grc] βάσκω,*gʷm̥sḱéti,"to be walking, to come, to be coming",verb,2
[san] जगाम [lat] vēnī [txb] kekamu,*gʷegʷóme,"to have the feet planted, to stand steady",verb,3
[grc] πέποιθᾰ,*bʰebʰóydʰe,"to be trusting, confident",verb,1
[grc] λέλοιπᾰ [san] रिरेच,*lelóykʷe,"to be missing, to be gone",verb,2
[san] ववर्त [san] वावर्त [lat] vertī,*wewórte,to be turned towards,verb,3
[san] दधर्ष,*dʰedʰórse,to dare,verb,1
[san] आनट् [san] आष्ट [sga] ·icc [san] अश्नोति [ave] 𐬀𐬱𐬥𐬀𐬊𐬌𐬙𐬌 [san] इनक्षति [old] ašnaiy [gle] éigean [gle] éigin [gla] èiginn [bre] anken [cym] angen [sga] ·uic [grc] ἀνάγκη [xto] eṃts- [txb] eṅk-,*h₂neḱ-,"to reach, to attain",root,19
[sqi] kënaq [sga] ·ánaic [san] आनाश [san] आनंश,*h₂eh₂nóḱe,"to have reached, to be at",verb,10
[san] ईश,*h₂eh₂óyḱe,"to possess, to own",verb,2
[sga] ad·ágathar [got] 𐍉𐌲𐌰𐌽,*h₂eh₂ógʰe,"to be upset, afraid",verb,2
[grc] ἄχνυμαι [got] *𐌰𐌲𐌾𐌰𐌽 [got] 𐌰𐌲𐌻𐍉 [gle] áladh [cym] aeled [cym] aelawd [got] 𐌰𐌲𐌻𐍃 [grc] ὀχλέω [sga] áil,*h₂egʰ-,"to be upset, afraid",root,9
[san] तातृपुर्,*tetórpe,to be satisfied,verb,1
[grc] τέρπω [san] तृप्यति [lit] tar̃pti [grc] τέρψις [san] तृप्ति [san] तृप्त,*terp-,to satisfy,root,6
[sga] -sestar [grc] ἕστηκᾰ [san] तस्थौ [lat] stetī,*stestóh₂e,to be standing,verb,4
[grc] δειλός [grc] δεῖμα [grc] δειμός [grc] δεινός [grc] δέος [xcl] երկիւղ [lat] dīrus [xcl] երկն [xcl] երկնեմ [xcl] երկնչիմ [san] द्वेष्टि [ave] 𐬛𐬎𐬎𐬀𐬈𐬱- [mid] byštn' [mid] byš,*dwey-,to fear,root,14
[xlu] 𔕰𔓱 [grc] δέδοικα [grc] δείδω [xto] wiyo,*dedwóye,to be afraid,verb,4
[sqi] njoh [hye] ճանաչել [hye] ճանչնալ [grc] γιγνώσκω [fas] شناختن,*ǵn̥h₃sḱéti,to recognise,verb,7
[hye] բերել [lav] bḕrt [lit] ber̃ti [xto] pär- [txb] pär-,*bʰéreti,to be carrying,verb,5
[ell] φορώ [eng] phoro- [san] भारयति,*bʰoréyeti,to be carrying around,verb,3
[sqi] vjedh,*wéǵʰeti,to be transporting,verb,1
[grc] ἔϝεξε [san] अवाट् [lat] vē̆xī,*wḗǵʰst,to transport,verb,3
[hye] ածել [xto] ākeñc [txb] āśäṃ,*h₂éǵeti,to be driving,verb,3
[lit] likti [grc] λείπω [lat] līquī,*léykʷt,to leave,verb,3
[xcl] լքանեմ [grc] λιμπάνω,*linékʷti,to be leaving,verb,2
[grc] φείδομαι [san] अभेत् [san] भेदति,*bʰéydt,to split,verb,3
[grc] σκέπτομαι [san] पश्यति [lat] speciō,*spéḱyeti,"to be looking at, to keep looking at",verb,3
[hit] 𒆠𒀉𒋫 [hit] 𒆠𒀉𒋫𒊑 [hit] 𒆠𒀉𒁕𒊑 [lyc] 𐊖𐊆𐊊𐊚𐊏𐊆 [lyc] 𐊖𐊆𐊊𐊁𐊏𐊆 [pal] 𒆠𒄿𒋫𒅈 [grc] κεῖμαι [ave] 𐬯𐬀𐬉𐬙𐬉 [ave] 𐬯𐬋𐬌𐬭𐬈,*ḱéytor,to be lying flat,verb,9
[bre] kouezhañ [cym] digwydd [lit] šeirỹs [lav] siẽva [san] शेव [san] शिव [lat] cīvis [lat] cūnae [grc] κοίτη [sqi] cys [sqi] ndërsej [xcl] սէր [chu] посивьнъ [rus] посив [san] शी,*ḱey-,"to be lying down, to settle",root,15
[hit] 𒌑𒂊𒌍𒋫 [hit] 𒌑𒌍𒋫 [hit] 𒌑𒂊𒌍𒊭𒀭𒁕 [grc] εἷμαι [grc] ἕσσαι,*wéstor,to be wearing,verb,5
[xcl] երթամ [grc] ἔστην [san] अस्थात् [xto] tāmäs,*stéh₂t,to stand up,verb,4
[san] तिष्ठति [fas] ایستادن [lat] sistō,*stísteh₂ti,"to be standing up, to be getting up",verb,3
[sqi] shtoj [hit] istanh-ᵐⁱ [hye] ստանալ [lat] dē-stinō [lat] ob-stinō,*stnéh₂ti,"to place, to stand",verb,5
[xcl] եդ [grc] ἔθηκᾰ [grc] ἔθεμεν [san] अधात् [lat] -dō,*dʰéh₁t,"to have put, to have placed, to have done",verb,5
[grc] τίθημι,*dʰédʰeh₁ti,"to be putting, placing, to be doing",verb,1
[hye] թողնել [hye] թողել [hye] թողուլ [sga] tlenaid [grc] ἀνατέλλω [lat] tollō [txb] tallaṃ,*tl̥néh₂ti,to be lifting,verb,7
[grc] ἔτλην,*télh₂t,to lift,verb,1
[lat] tetulī [lat] tulī,*tetólh₂e,to be holding up,verb,2
[hye] նստել [prg] sindants [lav] sēsties [lit] sė́sti [grc] ἵζω,*sísdeti,to be sitting down,verb,5
[grc] εἷσα [san] असदत्,*sédt,to sit down,verb,2
[hit] 𒌑𒂊𒊑𒄿𒊍𒍣 [grc] εἴρω,*wéryeti,to be saying,verb,2
[sga] luid [grc] ἤλυθε [grc] ἤλυθον [grc] ἦλθον [xto] lät- [txb] lät-,*h₁ludʰét,to arrive,verb,6
[mid] tannu [grc] τάνυται [grc] τανύω [san] तनोति [ave] 𐬙𐬀𐬥𐬎𐬌𐬌𐬀,*tn̥néwti,to be stretching,verb,5
[hye] հարցնել,*pr̥sḱéti,"to keep asking, to question",verb,1
[gmy] 𐀺𐀽 [ave] 𐬬𐬆𐬭𐬆𐬰𐬌𐬌𐬈𐬌𐬙𐬌,*wr̥ǵyéti,"to be working, to be at work",verb,2
[grc] θέσσεσθαι [old] 𐎩𐎮𐎡𐎹𐎠𐎷𐎡𐎹,*gʷʰédʰyeti,"to keep requesting, to keep asking for",verb,2
[grc] ἀλκή [lat] ulciscor [san] रक्ष्,*h₂lek-,to protect,root,3
[grc] ἀλέξω [grc] ἀλέκω,*h₂lékseti,to be protecting,verb,2
[grc] εἶπον,*wéwket,to say,verb,1
[grc] ἔδειξᾰ [lat] dīxī,*dḗyḱst,to point out,verb,2
[sga] ruidid [lat] rubeō,*h₁rudʰéh₁ti,to be red,verb,2
[lat] vīsō,*wéydseti,to want to see,verb,1
[hit] 𒉈𒂊𒌋𒉿𒄴𒄩𒀭𒍣 [grc] νεάω [lat] novō,*néweh₂ti,to renew,verb,3
[grc] τεύχω,*dʰéwgʰti,to be productive,verb,1
[san] दुदोह [san] दुदुहुर्,*dʰedʰówgʰe,to be productive,verb,2
[san] रुप्यति [san] रोपयति [san] लोपयति [san] रोपि [lat] rūpēs [san] रोप [san] लोप [bul] ру́па [lat] rūpa [mid] lwpk [san] लुप्त [lat] ruptus [lat] rupex [grc] ῥομφαία [bul] рофия [bul] руфя,*Hrewp-,"to break, tear (up)",root,21
[san] लुम्पति [san] लुम्पते [lat] rumpō,*Hrunépti,to be breaking,verb,3
[lat] rūpī,*Hréwpt,to break,verb,1
[san] रजस्यति,*h₁regʷesyéti,to be getting dark,verb,1
[lat] alō,*h₂életi,to be nourishing,verb,1
[lav] ar̂t [lit] árti [grc] ἀρόω [lat] arō,*h₂éryeti,to be ploughing,verb,4
[san] वाति [ave] 𐬬𐬁𐬌𐬙𐬌,*h₂wḗh₁ti,to blow (of wind),verb,2
[lav] mīzt [lit] mȳžti [grc] ὀμείχω [san] मेहति [ave] 𐬨𐬀𐬉𐬯𐬀𐬙𐬌,*h₃méyǵʰeti,to be urinating,verb,5
[sqi] kap [lav] kàmpju [lav] kàmpt [ell] χάφτω [ell] χάβω [lat] capiō,*kapyéti,to be grasping,verb,6
[lat] *celō [lat] occulō,*ḱéleti,"to be covering, hiding",verb,2
[san] ब्रवीति [san] ब्रूते [ave] 𐬨𐬭𐬀𐬊𐬌𐬙𐬌 [txb] pälw-,*mléwHti,to say,verb,4
[san] ब्रुव [san] ब्रू,*mlewH-,to say,root,2
[sqi] pi [xcl] ըմպեմ,*píph₃eti,"to drink, to be drinking",verb,2
[lat] pro-prius,*priHós,"pleased, loved",adj,1
[sqi] frikë [xto] präskā- [txb] präskā-,*pr̥k-,to fear,root,3
[hit] 𒊭𒀀𒆠𒄑𒍣 [lat] sāgiō,*séh₂gyeti,"to seek out, give a sign, track",verb,2
[san] असिचत् [san] सिञ्चति [ave] 𐬵𐬌𐬧𐬗𐬀𐬌𐬙𐬌 [san] सेचनी [lat] Sēquana [non] Sigyn [san] सिक्त [got] 𐍃𐌰𐌹𐍅𐍃 [san] सेक [grc] ἰκμάς [san] सिच्,*seykʷ-,"to moisten, to filter",root,11
[san] छेद्म [san] अच्छेदि [san] छेदि [san] अच्छिदत् [san] अच्छैत्सीत्,*skéydt,to cut off,verb,5
[lat] scindō,*skinédti,to be cutting off,verb,1
[san] स्फरीः [san] स्फुरति [ave] 𐬯𐬞𐬀𐬭𐬋𐬌𐬝 [lat] spernō [lav] spert [lit] spi̇̀rti [grc] σπαίρω [hit] išparrai,*sperH-,to kick,root,8
[san] तानयति,*tonéyeti,to extend,verb,1
[sga] do·fortai [lat] oporteō,*wortéyeti,to turn (transitive),verb,2
[sqi] vesh [hit] 𒉿𒀸𒊺𒄑𒍣 [san] वासयति [san] वासयते,*woséyeti,"to clothe, to put clothes onto",verb,4
[lav] nàujš [lit] naũjas [san] नव्य,*néwyos,alternative form of *néwos,adj,3
[grc] δίδωμι,*dédeh₃ti,to be giving,verb,1
[xcl] ետ [grc] ἔδομεν [san] अदात् [ave] 𐬛𐬁𐬝,*déh₃t,to give,verb,4
[sqi] duo [sqi] dua [sqi] dúaj [grc] ῠ̓πόδημᾰ [san] दामन् [fas] دام [sqi] dell [grc] δετός [san] दित,*deh₁-,to bind,root,9
[xcl] լուաւ [grc] κλύω [san] अश्रोत् [ave] 𐬯𐬭𐬀𐬊𐬙𐬏,*ḱléwt,to hear,verb,4
[xto] käln- [txb] käln-,*ḱl̥néwti,to be listening,verb,2
[gle] chuala [san] शुश्राव [ave] 𐬯𐬏𐬯𐬭𐬏𐬨𐬀,*ḱeḱlówe,"to be heard, audible",verb,3
[lav] dzìmts [lit] gim̃tas [prg] naunagimton [grc] βατός [lat] ventus,*gʷm̥tós,"able to step or go, able to be traversed: passable, come, gone; having stepped, passed, treaded (past participial uses of *gʷem-)",adj,5
[grc] ἰτός [san] इत [ave] (𐬀𐬌𐬡-)𐬌𐬙𐬀 [ave] (𐬞𐬀𐬌𐬙-)𐬌𐬙𐬀 [lat] itus,*h₁itós,passable,adj,5
[grc] γνωτός [grc] γνωστός [san] ज्ञात [mid] zand [ita] noto,*ǵn̥h₃tós,"known, recognisable",adj,6
[pol] oczywisty [pol] rzeczywisty [grc] ἄ-ιστος [lat] vīsus,*widtós,"seen, known",adj,4
[cel] sessa [san] सत्त [lat] sessus,*sedtós,seated,adj,3
[ave] 𐬬𐬀𐬭𐬱𐬙𐬀,*wr̥ǵtós,"worked, fashioned",adj,1
[grc] χήρ [lat] ēr,*ǵʰḗr,hedgehog,noun,2
[lav] mìesa [lit] mėsà [prg] menso [prg] mensā,*mḗms,"flesh, meat",noun,4
[grc] λειμών [grc] λιμήν [grc] λῐ́μνη [txb] lyam,*léymō,lake,noun,4
[grc] τλᾱτός [grc] τλητός [lat] lātus,*tl̥h₂tós,lifted,adj,3
[txb] mīsa,*mems-,"flesh, meat",root,1
[lit] kir̃sti [lit] kirstù [lit] kirtaũ [lit] kartùs [prg] kārtai [lav] kretêt [isl] horskur [grc] καρτερός [grc] κρατερός [grc] κρατύς [grc] κρείσσων [grc] κρείττων [grc] κρέσσων [lat] crassus,*kret-,"to be strong, to swell",root,30
[lav] krė̃sti [lit] krèst [lav] kratît [lit] kratýti [grc] κροτέω [mid] hurzen [nor] rota [nor] rjota [lav] krist [lit] kri̇̀sti [lit] kretė́ti [lit] apikratai̇̃ [lit] kratùs [gla] crath [grc] κρότος,*kret-,"to shake, rattle, to move quickly",root,18
[lat] hostus [lit] pažasti̇̀s [lit] pažastė̃ [lit] pažastỹs [lat] hostia,*ǵʰes-,"hand, to take, give in exchange",root,5
[gle] Dana [cym] Dôn [eng] Don [san] दानु [ave] 𐬛𐬁𐬥𐬎,*déh₂nu,"river, river goddess",noun,5
[lav] jûgt [lit] jùngti,*yunégti,to be joining,verb,2
[ang] gȳċer [mid] jiuch [got] 𐌾𐌿𐌺𐌿𐌶𐌹 [grc] ζεῦγος [lat] iūgera [lat] iūxtā,*yéwgos,"team, pair of yoked animals",noun,10
[sqi] hith [san] इन्द्धे [txb] intsau [grc] αἴθω [san] एधते [mid] eiten [lat] aedēs [lat] aedis [lat] ēdis [grc] αἰθήρ [bre] oaz [cym] aidd [sga] áed [grc] αἶθος [san] एधस् [grc] αἴθαλος [gmy] 𐁁𐀲𐀫 [lat] aestās [lat] aestus [san] इद्ध [ave] 𐬀𐬉𐬯𐬨𐬀 [sqi] jezull [lit] aidinti,*h₂eydʰ-,"to ignite, fire",root,29
[sga] do·beig [xcl] եբեկ [xcl] բեկանեմ [lit] bengiú [lit] beñgti [lit] bai̇̃gti [lav] bèigt [lit] bei̇̃gti [san] भनक्ति [xto] pkänt [txb] pkante [mid] di-fo [mid] diuo [gle] bocht [gla] bochd [sga] ráthbuige [san] भङ्ग [fas] سونجه [fas] vsönǰ- [fas] sönǰ- [san] भञ्ज्,*bʰeg-,to break,root,21
[lav] bañga [lav] bôga [lit] bangà [lit] bognà,*bʰeg-,"to bend, curve, arch, to billow, swell, a body of water: river ~ marsh, bog",root,4
[hit] 𒅖𒄩𒀪𒊒 [lav] asara [lit] ãšara [xto] ākär [txb] akrūna,*h₂éḱru,tear (in the eyes),noun,5
[grc] δύναμαι [txb] tswetär [rus] даве [chu] давѣ [chu] одѣвѣ,*dewh₂-,to fit,root,5
[hye] ընդերք [ell] έντερο [san] अन्तर [ave] 𐬀𐬧𐬙𐬀𐬭𐬀 [hin] अंदर [lat] intrā [lat] intrō [lat] interior,*h₁énteros,"inside, within",adj,9
[grc] γόνος [grc] γονή,*ǵónh₁os,"birth, offspring",noun,4
[san] इष्ट [ave] 𐬌𐬱𐬙𐬀 [hye] հայց [lat] aeruscō [lat] aestimō [lav] ieska,*h₂eys-,"to wish, to request, to search",root,7
[ave] 𐬭𐬁𐬛𐬀𐬝 [san] राध्यति [lav] rādīt(i) [lit] rodyti [sga] rádaid [sga] radid [cym] amrawdd [sga] imm-rádi [san] राधयति [san] राध्नोति [san] राधस् [ave] 𐬭𐬁𐬛𐬀 [sqi] radhë,*Hreh₁dʰ-,"to think, to arrange, to succeed, accomplish",root,13
[ang] rēotan [mid] riezen [isl] rjóta [lat] rūdō [lat] rudō [lit] raudà [lav] raûdât [lit] raudóti [isl] rauta [nor] raute [nor] rauta [swe] röta [sqi] ryej [san] रुद्,*HrewdH-,to weep,root,17
