input,output,meaning,num_cognates,cognate_set_id
[Latin] cos [Armenian] սմբուկ [Albanian] thadër [Latin] cautes,*ḱeh₃-,,4,1121
[English] farm [Latin] firma [French] ferme [Old French] ferme [Polish] ferma [Old English] feorm [Irish] feirm [Old Norse] fýri [Norman] fèrme [Welsh] fferm [Yiddish] פֿאַרם [Old Norse] fjǫrgyn,*perkʷ-,,12,1122
[Catalan] front [French] front [Italian] fronte [Spanish] frente [Romanian] frunte,*bʰron-t-,,5,1123
[English] request [English] question [English] inquiry [English] inquire [English] enquiry [English] enquire [Latin] quaero,*kʷeh₂-,,7,1124
[English] thong [Ancient Greek] σάγμα [Ancient Greek] σάττω [Old Frisian] thwong,*twenk-,,4,1125
[English] awe [Icelandic] ótti [English] hideous [Norwegian Nynorsk] agg [Swedish] agg [Old English] eglan [Gothic] 𐌰𐌲𐌻𐍉 [Gothic] 𐍉𐌲𐌾𐌰𐌽 [Ancient Greek] ἄχνυμαι [Ancient Greek] ἀχεύων,*h₂egʰ-,,10,1126
[Westrobothnian] äl [Old Norse] elja [Latvian] alva [Old Norse] eljun [Old Norse] eljan,*al-,,5,1127
[English] waste [English] waste,*wāsto-,,2,1128
[Breton] don [Serbo-Croatian] дно [Serbo-Croatian] dno [Old Prussian] dubnas [Old Church Slavonic] дъно [Irish] domhain [Manx] dowan [Latvian] dibens [Lithuanian] dugnas [Welsh] dwfn,*dʰubʰnós,,10,1129
[Sicilian] don [Spanish] don [Dutch] dom [Dutch] dom [Indonesian] dom [Lower Sorbian] dom [Old Irish] dom [Polish] dom [Serbo-Croatian] dom [Slovak] dom [Slovene] dom [Esperanto] domo [Ido] domo [Sardinian] domo [Italian] duomo [Portuguese] dono [Kashubian] dóm [Old Czech] dóm [Czech] dům [Silesian] dům [Latin] domus [French] domestique [Old Armenian] տուն [Russian] дама [Romansch] dunna [Esperanto] damo [Sanskrit] दम [Ukrainian] дім [Ancient Greek] δόμος [Italian] donzella [French] donzelle [Norman] donzelle [Corsican] domu [Sardinian] domu [Scottish Gaelic] domh [Portuguese] doméstico [Spanish] doméstico [Norman] danme [Ancient Greek] δῶμα [Avestan] 𐬛𐬀𐬨 [Ancient Greek] δῶ [Sanskrit] दम् [Ancient Greek] δάμαρ,*dṓm,,43,1130
[Latin] stamen [Gothic] 𐍃𐍄𐍉𐌼𐌰 [Ancient Greek] στάμνος [Ancient Greek] στήμων [Sanskrit] स्थामन्,*stéh₂mn̥,,5,1131
[English] course [Dutch] ros [Portuguese] correr [Spanish] correr [English] hurry [Romanian] cure [English] rush [French] courir [Old English] hors [Latin] curro [Old Norse] hross [Norwegian Nynorsk] rusa [Swedish] rusa [English] horse [Tocharian B] kwarsär [Catalan] córrer [West Frisian] hoars [Ancient Greek] ἐπίκουρος [Romanian] curge [Swedish] russ [Norman] couôrre [West Flemish] teure [Swedish] valross [Galician] corredoira [English] karozzin [Old English] horsc [Norman] couori,*ḱers-,,27,1132
[English] gaunt [Swedish] bana [Latin] defendo [English] defend [English] fend [Lithuanian] gana [Scottish Gaelic] gon [Sanskrit] ह [Latin] fustis [Faroese] gandur [Icelandic] gandur [Russian] гонять [Latin] offendo [Scottish Gaelic] gaoid [Ancient Greek] θείνω [Serbo-Croatian] žeti [Slovene] žeti [Ancient Greek] φόνος [Irish] goin [Serbo-Croatian] жети [Sanskrit] अघ्न्या [Latin] infensus [Latin] festinus [Latvian] dzīt [Ancient Greek] θνῄσκω [Lithuanian] ganyti [Lithuanian] ginti [Ancient Greek] ἔπεφνον [Middle Persian] zʾhl [Old Irish] gonaid [Sanskrit] हन् [Sanskrit] हन् [Russian] гон [Welsh] gwanu,*gʷʰen-,,34,1133
[English] yawn [Lithuanian] žiovauti,*ǵʰi-,,2,1134
[English] mane [Old English] mene [Latin] monile [English] manilla [Latin] mellum,*mony-,,5,1135
[Latin] mane [Latin] manus [Scottish Gaelic] math [Italian] maturo [Italian] domani [Spanish] mañana [Portuguese] manhã [English] mo [Occitan] deman [French] demain [Old Portuguese] mão [Portuguese] mão [Latin] manis [Romanian] mâine [Romanian] mână [Lombard] duman [Scottish Gaelic] mòine [Portuguese] maduro [Spanish] maduro [French] mûr [Scottish Gaelic] màg [Welsh] mawn [Catalan] demà [Latin] immanis [Irish] móin [Old Irish] móin [Manx] moain [Albanian] mëngjes [Mirandese] manhana [Catalan] madur [Russian] манить [Latin] Matuta [Ancient Greek] μῶλος [Latin] de mane,*meh₂-,,34,1136
[French] main [English] maniple [English] manacle [Serbo-Croatian] mah [English] unmannerly,*(s)meh₂-,,5,1137
[Old High German] riga [Sassarese] riga,*h₁reyk-,,2,1138
[English] glad [Swedish] glad,*gʰladʰ-,,2,1139
[Breton] glad [Welsh] gwlad [Old Welsh] gulat,*h₂wélh₁tis,,3,1140
[Polish] czar [Ancient Greek] τέρας [Indonesian] karma [Latin] Britannia [Welsh] peri [Central Kurdish] کردن [Persian] کردن [Southern Kurdish] کردن [Marathi] काम [Welsh] Prydain [Persian] کار [Northern Kurdish] kirin [Bakhtiari] کر [Lithuanian] keras [Sanskrit] कर्मन् [Swedish] kirra [Serbo-Croatian] чар [Serbo-Croatian] čar [Latin] Britto [Pali] kamma [Scottish Gaelic] cruth [Russian] чары [Sanskrit] कृ [Welsh] pryd [Latin] Pictus [Lithuanian] kurti [Hindi] कृति [Albanian] sarkë [Ancient Greek] πελώριος [Greek] πελώριος [Burmese] ကြိယာ [Burmese] ကိရိယာ [Avestan] 𐬐𐬀𐬭 [Middle Persian] 𐭪𐭫𐭲 [Hindi] उपकरण [Old Armenian] ճար [Latin] Parisii [Tocharian B] kerū [Ancient Greek] τείρεα [Shan] ၵရိယႃႇ [Tocharian A] karel,*kʷer-,,41,1141
[Tocharian A] tsar [Greek] χέρι [Tocharian B] ṣar [Ancient Greek] χείρ,*ǵʰésōr,,4,1142
[Catalan] saber [Portuguese] saber [Spanish] saber [French] savoir [Chavacano] sabor [Portuguese] sabor [Spanish] sabor [Romansch] saver [Romansch] saveir [Romansch] savair [Latin] sibus,*seh₁p-,,11,1143
[Danish] mug [Ancient Greek] μύκης [Latin] mucus [Latin] mugil [Latvian] mukls [Ancient Greek] μύξα [Greek] μύξα [Ancient Greek] μυκτήρ [Welsh] mign,*mew-k-,,9,1144
[Old Irish] mug [German] Magd [Old English] magu [Old Norse] mǫgr [Old English] meowle,*mogʰus,,5,1145
[French] sein [Latin] sinus [Italian] seno [Spanish] seno [Romanian] sân [Albanian] gji,*sinos,,6,1146
[English] brine [English] fray [Albanian] brit [Latin] frio [Spanish] disfrazar [Phrygian] βρειτ [Latin] frivolus [Albanian] brij [Albanian] bresë [Sanskrit] भ्री [Persian] برین,*bʰreyH-,,11,1147
[English] brine [West Frisian] brein,*mriHnós,,2,1148
[German] Freude [English] frosh [German] Frosch [Pennsylvania German] Frosch [English] frosk [Norwegian Bokmål] frosk [Norwegian Nynorsk] frosk [Faroese] froskur [Icelandic] froskur [Old Norse] froskr [Old English] frosc [Russian] прыгать [Persian] پریدن [Dutch] vors [West Frisian] froask [Yiddish] פֿרייד [Sanskrit] प्लव [Yiddish] פֿראָש [Marshallese] būro̧k,*prew-,,19,1149
[English] smite [West Frisian] smite [German] schmeißen [Swedish] smita [Dutch] smijten [Old Frisian] smitta,*smeyd-,,6,1150
[English] include [Latin] clavis [French] clou [Polish] clou [Latin] clavus [English] enclosure [English] inclusion [English] conclusion [English] enclose [Portuguese] chave [French] clé [Spanish] clavo [Latin] claudo [Welsh] clo [Italian] chiavo [Scottish Gaelic] clò [English] claviform [English] claviform [Galician] cravo [Portuguese] cravo [Irish] cló [Welsh] allwedd [Latin] clathri [English] clavicytherium [Galician] choer,*(s)kleh₂w-,,25,1151
[English] slip [Indonesian] slip,*slewb-,,2,1152
[English] slip [Indonesian] slip [Welsh] llithro,*sleyb-,,3,1153
[English] slip [Indonesian] slip [Latin] lubricus,*slewbʰ-,,3,1154
[German] Geist [Dutch] geest [Afrikaans] gees,*ǵʰeysd-,,3,1155
[English] est [Old English] est,*ān-,,2,1156
[Irish] seas [English] consistent [Norwegian Bokmål] stat [Ancient Greek] ἵστημι [Latin] sisto [Sanskrit] तिष्ठति [Old Irish] saidid [Norwegian Bokmål] ABC-statene,*stísteh₂ti,,8,1157
[English] turf [Dutch] turf [English] terve [English] topsy-turvy [German] Torf [Polish] torf [Old English] torfian [Sanskrit] दर्भ,*derbʰ-,,8,1158
[Old Norse] ars [Old English] ears [Old Armenian] ոռ [Ancient Greek] ὄρρος,*h₁orsos,,4,1159
[English] pabulum [Latin] pabulum,*peh₂-dʰlom,,2,1160
[Old English] great [English] engross [Italian] grande [Spanish] grande [Catalan] gran,*ghrewə-,,5,1161
[English] more [German] mehr [Old English] mod [Manx] mie [Latvian] mats [Latvian] meklēt,*mē-,,6,1162
[English] more [Latin] marceo,*merk-,,2,1163
[English] drake [Ancient Greek] δέρκομαι [Old English] torht [Old English] torht [English] pendragon [Sanskrit] दृष्टि [Irish] chonaic [Old Irish] adcí [Manx] honnick [Middle Irish] derc [Old Irish] derc [Sanskrit] दृश् [Sanskrit] दर्शन [Welsh] edrych [Irish] airdhirc [Middle English] torhte [Konkani] दिस्चे [Pali] diṭṭha [Assamese] দিঠক [Welsh] drych [Ancient Greek] ὑπόδρα [Old Irish] frecndairc [Middle Irish] airdircus,*derḱ-,,23,1164
[English] meek [Old Norse] mjúkr [Old Norse] myki [Swedish] mogen [Latin] emungo [Icelandic] mykja [Norwegian Bokmål] mjuk [Norwegian Nynorsk] mjuk [Swedish] mjuk,*mewg-,,9,1165
[Latin] vulpes [Romanian] vulpe [Persian] روباه [Cornish] lowarn [Breton] louarn [Indonesian] rubah [Malay] rubah [Portuguese] golpelha [Old Portuguese] golpella [Sanskrit] लोपाक [Spanish] vulpeja [Sanskrit] लोपाश [Kalasha] ḷawák [Galician] loberno,*h₂wl(o)p-,,14,1166
[Latin] nicto [English] connive [Latin] nitor [Latin] coniveo [English] nuel,*kneygʷʰ-,,5,1167
[Irish] ros [Old Irish] ros [Scottish Gaelic] ros [English] approach [English] for- [French] for- [Middle English] for- [Latin] pro [Fala] por [Galician] por [English] fret [English] opprobrium [Indonesian] pra- [Latin] protinus [Old Norse] fram [Spanish] proa [Swedish] pröva [Latin] procerus [Sanskrit] प्रथम [Italian] proda [Old Irish] ro- [Swedish] för- [Old English] profian [Norwegian Bokmål] provocatus [Gothic] 𐍆𐍂𐌰- [Indonesian] pertama [Sanskrit] प्रभा [Sanskrit] प्र- [Avestan] 𐬟𐬭𐬀 [Norwegian Bokmål] abortus provocatus [Welsh] rhag [Indonesian] pratama [Sanskrit] प्रयाण,*pro-,,33,1168
[Old Irish] ros [Albanian] presh [Ancient Greek] πράσον,*pr̥so-,,3,1169
[English] nix [Irish] nigh [Scottish Gaelic] nigh [German] Nix [English] nixie [Old English] nicor [German] Nixe [Dutch] nikker [Galician] Neda [Latin] noegeum [Avestan] 𐬥𐬀𐬉𐬥𐬌𐬲𐬀𐬌𐬙𐬌 [Sanskrit] निक्त [Sanskrit] निज् [Middle Irish] nigid,*neygʷ-,,14,1170
[Czech] rosa [Lower Sorbian] rosa [Old Czech] rosa [Polish] rosa [Serbo-Croatian] rosa [Slovak] rosa [Slovene] rosa [Upper Sorbian] rosa [Latvian] rasa [Lithuanian] rasa [Bulgarian] роса [Macedonian] роса [Russian] роса [Serbo-Croatian] роса [Ukrainian] роса [Belarusian] раса [Sanskrit] रसा,*h₁róseh₂,,17,1171
[Old Portuguese] rosa [Portuguese] rosa [Faroese] rósa [Albanian] hurdhe [Albanian] urth,*wr̥dʰo,,5,1172
[Danish] blad [Dutch] blad [Norwegian Bokmål] blad [Norwegian Nynorsk] blad [Old Saxon] blad [Old Norse] blað [Old English] blæd [Indonesian] belat,*bʰlh̥₃oto,,8,1173
[Swedish] blad [Faroese] blað,*bʰlh̥₃otom,,2,1174
[English] gab [English] inhabitant,*ghabh-,,2,1175
[Danish] ed [Norwegian Bokmål] ed [Swedish] ed [English] oath [Tocharian A] en- [Tocharian B] en- [Old Norse] eiðr [Ancient Greek] οἶτος,*h₁óytos,,8,1176
[Manx] ee [Irish] ith [Old Irish] ith [Scottish Gaelic] ith [Old Church Slavonic] питѣти [Lithuanian] pietūs [Old Irish] ithid [Russian] питать [Sanskrit] पितु,*peyt-,,9,1177
[Latin] urbs [English] verbena [Latin] verbena [French] verveine [Italian] vermena [Romanian] verbină,*werbʰ-,,6,1178
[Latin] urbs [English] yard [Norwegian Bokmål] gard [Norwegian Nynorsk] gard [Old Saxon] gard [Middle English] garth [Faroese] garður [Icelandic] garður [Old English] geard [Middle English] yerd [Albanian] gardh [Old Norse] garðr [Norwegian Bokmål] gård [Swedish] gård [Dutch] gaard [Friulian] zardìn [Dutch] gaarde [Gothic] 𐌲𐌰𐍂𐌳𐍃 [Norwegian Bokmål] abildgård,*gʰórdʰos,,19,1179
[Latin] pons [Spanish] puente [Italian] ponte [Portuguese] ponte [Catalan] pont [French] pont [Ancient Greek] ποταμός [Ido] ponto [Russian] Путин [Romanian] punte [Ancient Greek] πόντος [Armenian] հուն [Middle Armenian] հուն [Old Armenian] հուն,*pónteh₁s,,14,1180
[Latin] vulnus [Irish] fuil [Middle Irish] fuil [Old Irish] fuil [Scottish Gaelic] fuil [Old English] wæl [Latin] vello [Lithuanian] vėlė [Irish] flann [Middle Irish] flann [Scottish Gaelic] flann [Lithuanian] vėliava [Faroese] valkyrja [Icelandic] valkyrja [Old Norse] valkyrja [Ancient Greek] ἁλίσκομαι [Gothic] 𐍅𐌹𐌻𐍅𐌰𐌽 [Ancient Greek] οὐλή,*welh₃-,,18,1181
[Latin] venio [Portuguese] vir [Italian] venire [Leonese] venire [Catalan] venir [French] venir [Spanish] venir [English] convene [Romanian] veni [Ancient Greek] βαίνω,*gʷm̥yéti,,10,1182
[Latin] arx [Latin] arcanus [Norwegian Bokmål] ark [Latin] exercitus [Latin] parco [Ancient Greek] ἀρκέω [Old Armenian] արգել [Latin] arceo [Latin] Orcus [Persian] ارگ [Latin] arcera,*h₂erk-,,11,1183
[Old Norse] vita [Czech] vědět [German] wissen [Danish] vide [Old Dutch] witan [Old English] witan [Old Saxon] witan [Dutch] weten [Middle Dutch] weten [Old High German] wizzan [Old Church Slavonic] вѣдѣти [Serbo-Croatian] vedeti [Slovene] vedeti [Polish] wiedzieć [Old Armenian] գիտեմ [Slovak] vedieť [Russian] ведать [Lower Sorbian] wěźeś [Ancient Greek] οἶδα [Old Czech] věděti,*wóyde,,20,1184
[Piedmontese] vita [Norwegian Bokmål] bio- [Czech] život [Old Czech] život [Slovak] život [Welsh] bywyd [Ancient Greek] βίοτος [Norwegian Bokmål] abiogenese [Norwegian Bokmål] abiotisk,*gʷih₃wo-teh₂,,9,1185
[Latin] ulciscor [Ancient Greek] ἀλέξω [English] rakhi [Sanskrit] रक्षा [Old English] ealh [Lithuanian] alkas [Old English] ealgian [Sanskrit] रक्ष् [Ancient Greek] ἀλκή [Middle Persian] lškl,*h₂lek-,,10,1186
[Latin] aper [German] Eber [Old Ruthenian] вепръ,*h₁ep-r-,,3,1187
[Latin] opus [Sanskrit] अपस्,*h₃épos,,2,1188
[English] spew [Norwegian Bokmål] spy [Swedish] spy [Icelandic] spýja [Dutch] spuwen [Faroese] spýggja [Old Church Slavonic] пльвати [Czech] plivat [Afrikaans] spoeg [Ossetian] ту [Alemannic German] spiiwe [Kashubian] plëwac,*(s)ptyēw-,,12,1189
[Franco-Provençal] homo [Ido] homo [English] groom [Welsh] dyn [Icelandic] gumi [Old Norse] gumi [Irish] duine [Old Irish] duine [Scottish Gaelic] duine [Gothic] 𐌲𐌿𐌼𐌰 [Greek] όμηρος [Emilian] òmen [Old Saxon] gumo,*dʰǵʰm̥mō,,13,1190
[English] crust [French] croûte [Catalan] crosta [Italian] crosta [Portuguese] crosta [Spanish] costra [Romanian] crustă,*krustós,,7,1191
[English] tram [Latin] terminus [Latin] termen [Ancient Greek] τέρμα [Old Irish] druimm [English] terminalian,*térmn̥,,6,1192
[English] sorrow [Danish] sorg [Faroese] sorg [Icelandic] sorg [Norwegian Bokmål] sorg [Norwegian Nynorsk] sorg [Old Norse] sorg [Swedish] sorg [German] Sorge [Dutch] zorg [German] sorgen [Old Irish] serg,*swergʰ-,,12,1193
[Latin] veho [English] weigh [Norwegian Nynorsk] vega [Dutch] wegen [Middle Dutch] wegen [Albanian] vjedh [Albanian] vjedh [Hindi] बहना [Polish] wieźć [Ancient Greek] ϝέχω [Prakrit] 𑀯𑀳𑀇,*wéǵʰeti,,11,1194
[Latin] vinco [Italian] vincere [French] vaincre [Portuguese] vencer [Spanish] vencer [Catalan] vèncer [Romanian] învinge,*wi-n-k-,,7,1195
[Latin] vetus [Albanian] vit [Ancient Greek] ἔτος [Portuguese] velho [Italian] vieto,*wétos,,5,1196
[Romanian] via [Portuguese] viver [English] zodiac [French] vivre [Norman] vivre [Romanian] vie [Italian] vivere [Spanish] vivir [Latin] vivo [Spanish] viviente [Ancient Greek] ζάω [Catalan] viure [Polish] życie [Polish] żyć [Sanskrit] जीवति [Arabic] زي [Greek] ζω [Walloon] viker [Lower Sorbian] žyś [Gujarati] જીવવું [Mewari] जीणो [Ligurian] vîve [Sardinian] bivere [Kashubian] żëc [Sudovian] giwatti,*gʷíh₃weti,,25,1197
[English] crystal [Tocharian B] krośce [Tocharian A] kᵤraś,*krews-,,3,1198
[Catalan] vespa [Italian] vespa [Portuguese] vespa [English] wasp [French] guêpe [Czech] vosa [Bulgarian] оса [Russian] оса [Serbo-Croatian] оса [Ukrainian] оса [German] Wespe [Afrikaans] wesp [Dutch] wesp [Norwegian Bokmål] veps [Norwegian Nynorsk] veps [Spanish] avispa [Romanian] viespe [Albanian] arëz [Danish] hveps [Gallo] gésp [German Low German] Wepse [Lower Sorbian] wósa [Norwegian Nynorsk] kvefs [Old Prussian] wobse,*wobʰseh₂,,24,1199
[Latin] veto [Norwegian Bokmål] veto [Welsh] gwadu [Old Irish] doaisféna [Norwegian Bokmål] absolutt veto,*weth₂-,,5,1200
[English] teeth [Middle English] teth,*h₃dóntes,,2,1201
[German] arbeiten [Romanian] rob [Serbo-Croatian] rob [Catalan] orb [Romanian] orb [English] orphan [German] Arbeit [Finnish] orpo [Latin] orbus [Bulgarian] роб [Macedonian] роб [Serbo-Croatian] роб [Ancient Greek] Ὀρφεύς [Old Church Slavonic] рабъ [Sanskrit] अर्भ [Old Armenian] որբ [Ancient Greek] ὀρφανός [Portuguese] órfão [Italian] orbo [Macedonian] раб [Russian] робкий [Greek] ορφανός [Persian] اربون [Mycenaean Greek] 𐀃𐀞,*h₃órbʰos,,24,1202
[Latin] lex [Galician] lei [Portuguese] lei [French] loi [Spanish] ley [Romanian] lege [Italian] legge [Catalan] llei [Aromanian] leadzi,*leǵ-s,,9,1203
[Norwegian Bokmål] aber [Albanian] afat [Albanian] afër [Luxembourgish] of- [Old English] of- [Old High German] avur [English] off- [Old High German] afur [Hunsrik] awer,*apo-,,9,1204
[Corsican] serra [Persian] اره [Latin] sarrio [Baluchi] ہرگ,*sers-,,4,1205
[German] bloß [Old High German] bloz [French] éblouir [Swedish] blöt,*bʰlaw-,,4,1206
[Asturian] mano [Italian] mano [Mirandese] mano [Spanish] mano [Latin] manus,*méh₂r̥,,5,1207
[Albanian] dem [Irish] damh [Scottish Gaelic] damh,*dm̥h₂-ó-,,3,1208
[Northern Kurdish] dem [Swedish] tid [English] Yuletide [English] yahrzeit [Swedish] timme,*dī-,,5,1209
[English] whole [Old Frisian] hel [English] hallow [English] hallow [Vandalic] eils [Polish] cały [Welsh] coel,*kóylos,,7,1210
[German] ob [Latin] sub [Ancient Greek] ὑπό [Persian] اوستا [Persian] افکندن [Persian] افراشتن [Persian] باور [Persian] افروختن [Sanskrit] उप,*upó,,9,1211
[English] value [English] Walter [English] valid [Indonesian] valid [English] valiant [English] cuckold [English] Vladimir [English] valedictory [Welsh] gwaladr [English] wieldy [Lithuanian] valstybė [Latin] vellus [French] -aud [Ancient Greek] λῶμα [Ancient Greek] λάχνη [Ancient Greek] οὖλος [Old Irish] follnaithir,*h₂welh₁-,,17,1212
[English] mood [Latin] mos [Lithuanian] matyti,*moh₁-,,3,1213
[Volga German] Raum [Swedish] rum [Faroese] rúm [Icelandic] rúm [Old Norse] rúm [French] arrimer,*rowǝ-,,6,1214
[Old Irish] recht [Scottish Gaelic] reachd,*tus,,2,1215
[English] smith [Albanian] mih,*smēy-,,2,1216
[English] bulk [English] block [English] balcony [Polish] balkon [Indonesian] blok [Friulian] balcon [Venetian] balcon [Old English] bolca [Galician] balcón [Swedish] balkong [Ancient Greek] φάλαγξ [Swedish] falang [Latin] fulcio [Albanian] bligë [Latin] sufflamen [English] falanghina [Italian] falanghina [Marshallese] pirōk,*bʰelǵ-,,18,1217
[English] per [Ido] per [Indonesian] per [English] private [Portuguese] par [Spanish] par [Polish] przed [Albanian] Prishtinë [Latin] pristinus [Latin] perfidiosus [Latvian] pirksts [Albanian] perëndi,*per,,12,1218
[Portuguese] beber [Spanish] beber [French] boire [Italian] bere [Romanian] bea [Old Portuguese] bever [Latin] bibo [Old Irish] ibid [English] bibulous [Welsh] yfed [Catalan] beure [Sardinian] bibere [Latin] bibulus [Irish] ibh [Assamese] পিয়া [Ligurian] béive [Sicel] πιβε [Sardinian] bivere,*píph₃eti,,18,1219
[German] ja [English] yo [Italian] già [Indo-Portuguese] já [Portuguese] já [Yiddish] יאָ,*yē,,6,1220
[Portuguese] auto [Finnish] ajaa [English] onager [Faroese] aka [Icelandic] aka [Old Norse] aka [Old Swedish] aka [Middle Welsh] a [Welsh] mynd [Westrobothnian] aak [English] agonic [Breton] mont [Swedish] åka [Old Irish] ág [English] cogitation [French] cogitation [Tocharian A] āk [Tocharian B] āk [Galician] embaixada [Sanskrit] अजति [Indonesian] akta [Malay] akta [Old Armenian] ածեմ [Indonesian] akte [English] cogitabund [Albanian] shes [Irish] ágh [Middle Welsh] mynet [Sanskrit] अज् [Tocharian A] āk- [Tocharian B] āk- [Irish] táin [Tocharian B] ās- [Ancient Greek] ἀγός [Tocharian B] ekaññi [Sanskrit] आजि [Tocharian B] ekaññe [Tocharian A] akäṃtsune,*h₂eǵ-,,38,1221
[Albanian] edh [Danish] eg [English] oak [Swedish] ek [English] aegis [Afrikaans] eik [Dutch] eik [Faroese] eik [Icelandic] eik [Norwegian Nynorsk] eik [Old Norse] eik [Westrobothnian] eik [Lithuanian] ožys [Old Armenian] այծ [Greek] αίγα [Ancient Greek] αἴξ [Ancient Greek] αἰγίλωψ [Ancient Greek] αἰγίλωψ [Latin] aesculus [Lithuanian] ąžuolas [Albanian] dhi [Scots] aik [Old High German] eih [Albanian] enjë [Middle Dutch] eike [Marshallese] uuk,*h₂eyǵ-,,26,1222
[Latin] fuga [Ancient Greek] φυγή [Cebuano] puga,*bʰugéh₂,,3,1223
[Scottish Gaelic] gar [Old Irish] grían [Welsh] gwres,*gʷʰrenso-,,3,1224
[Latin] Londinium [Latin] linter [English] fleam [English] Plutonian [Old English] flowan [French] flotter [Scottish Gaelic] clòimh [Russian] плавать [Serbo-Croatian] plivati [Ancient Greek] πλέω [Galician] chuvia [Latin] pluit [Greek] πλένω [Russian] плот [Old English] flewsa [Old Armenian] լուանամ [Romanian] luntre [Slovak] plávať [Old French] floter [Walloon] floter [English] Plutonic [Lower Sorbian] pławiś [Sanskrit] प्लव [Old Irish] lúath [Latin] Plavis [Sanskrit] प्लु [Polish] łajba [Konkani] पोंव्चे [Persian] فرب [Ancient Greek] πλύνω [Welsh] llyw [Russian] лайба,*plew-,,32,1225
[Catalan] cabra [Portuguese] cabra [Sardinian] cabra [Spanish] cabra [Romanian] capră [French] cabriolet [Latin] caper [Italian] capra [Latin] capra [Finnish] kauris [Icelandic] hafur [French] chèvre [English] chevrotain [Scottish Gaelic] gobhar [Irish] gabhar [Manx] goayr [Old Irish] gabor [Polish] kabriolet [Faroese] havur [Welsh] gafr [Breton] gavr,*kápros,,21,1226
[Dutch] hop [Old High German] hopfo [French] houblon,*(s)keup,,3,1227
[Ancient Greek] μέλι [Ancient Greek] μέλισσα [Gothic] 𐌼𐌹𐌻𐌹𐌸,*mélit,,3,1228
[Middle Welsh] arch [English] pray [German] fragen [Dutch] vraag [German] Frage [Norman] prier [Latin] percontor [Old English] fricgan [English] frain [Latin] precor [Latin] prex [Welsh] rhegi [Northern Kurdish] pirs [Old English] frecgan [Yiddish] פֿראַגע [Lower Sorbian] pšosyś [Latin] procus [Welsh] rheg [Welsh] anrheg [Latvian] prasīt [Tocharian B] pärk- [Latin] comprecor,*preḱ-,,22,1229
[Catalan] pou [French] paver [French] puits [Italian] pozzo [Latin] puteus [Spanish] pozo [Latin] puto [Romanian] puț [Portuguese] poço [Latin] paveo [Latin] pudeo [Latin] repudium [Latin] pavio,*paw-,,13,1230
[French] pou [Spanish] piojo [Italian] pidocchio [Portuguese] piolho [Latin] paedor [Romanian] păduche [Old Portuguese] peollo,*pezd-,,7,1231
[English] hen [Portuguese] canto [Danish] høne [Norwegian Bokmål] høne [Norwegian Nynorsk] høne [Danish] hane [Norwegian Bokmål] hane [Norwegian Nynorsk] hane [Swedish] hane [Afrikaans] haan [Swedish] höna [Old High German] hano [Old Saxon] hano [Danish] charme [Icelandic] hæna [Icelandic] hani [Old Norse] hani [Faroese] høna [Persian] خواندن [Old Norse] hǿna [Romansch] chanzun [Romansch] canzun [Romansch] canzung [Romansch] canzùn [Walloon] tchant [Norman] cânchon [Hunsrik] Haan [Ossetian] хонын,*kan-,,28,1232
[Breton] hen [Welsh] hen [Latin] senex [Old Irish] sen [Irish] sean [Scottish Gaelic] sean [Italian] signore [Latvian] sens [Sudovian] sens [English] senile [Portuguese] seu [Italian] sene [Sardinian] sene [Portuguese] senhor [Lithuanian] senis [Ancient Greek] ἕνος [Gothic] 𐍃𐌹𐌽𐌴𐌹𐌲𐍃 [Sanskrit] सन [Old Armenian] հին [French] sénile [Lithuanian] senas [Manx] shenn [Irish] seanchas [Romansch] signur [Old Portuguese] sennor [Indonesian] sinyo [Sardinian] seneghe [Sardinian] seneche [Indonesian] senyur,*sénos,,29,1233
[Latin] vicesimus [English] vigesimal,*wi(h₁)ḱm̥ttós,,2,1234
[Latin] geminus [Albanian] gjysmë [Avestan] 𐬫𐬇𐬨𐬀,*yemH-,,3,1235
[English] spirit [Indonesian] spirit [Italian] spirare [English] inspire [English] fist [English] sprightly [Indonesian] spiritus [Latin] spiritus [Latin] spiro [English] fise [Sanskrit] पिच्छोरा,*(s)peys-,,11,1236
[English] murder [Old English] myrþra,*mr̥tro-,,2,1237
[Cebuano] murder [French] meurtrir,*mrtro-,,2,1238
[Latin] aries [Italian] ariete [Spanish] ariete [Romanian] arete [Portuguese] aríete [Old Irish] reithe [English] arietiform,*h₁r-i-(e)t-,,7,1239
[Latin] cancer [Latin] carcer [French] chancre [Italian] granchio [Italian] carcere [Polish] szankier,*kr-kr-,,6,1240
[Upper Sorbian] nós [Czech] nos [Lower Sorbian] nos [Norwegian Bokmål] nos [Norwegian Nynorsk] nos [Old Czech] nos [Polish] nos [Serbo-Croatian] nos [Slovak] nos [Slovene] nos [French] nez [Walloon] nez [Italian] naso [Spanish] naso [German] Nase [Belarusian] нос [Bulgarian] нос [Macedonian] нос [Russian] нос [Serbo-Croatian] нос [Norwegian Bokmål] nes [Romansch] nes [Catalan] nas [Romanian] nas [Romansch] nas [Ukrainian] ніс [Old Church Slavonic] носъ [Portuguese] narina [Spanish] narina [Bengali] নাক [Sudovian] nasis [Sanskrit] नस् [Hunsrik] Naas,*néh₂s,,33,1241
